category,Coefficient,Value,Std. Error,p,Estimate_on_the_response_scale,lwr_on_the_response_scale,uppr_on_the_response_scale
POP,ParkEifel,0.1961,0.1603,0.2211,1.2167,0.8887,1.6657
POP,ParkHainich,-0.3286,0.26,0.2062,0.7199,0.4325,1.1983
POP,ParkHunsrueck,0.1908,0.1629,0.2416,1.2102,0.8794,1.6654
POP,ParkJasmund,-0.426,0.3483,0.2213,0.6531,0.33,1.2926
POP,ParkKellerwald,0.2888,0.1768,0.1023,1.3348,0.9439,1.8875
POP,ParkSaechs_Schw,0.0474,0.1626,0.7708,1.0485,0.7624,1.442
POP,ParkVorpomm,-0.4982,0.5338,0.3507,0.6076,0.2134,1.7299
POP,Sexmale,-0.0355,0.0623,0.5686,0.9651,0.8541,1.0905
POP,ps(Date_numeric)3,-0.0496,0.1965,0.8005,0.9516,0.6474,1.3985
POP,ps(Date_numeric)4,-0.093,0.2652,0.7257,0.9112,0.5418,1.5323
POP,ps(Date_numeric)5,-0.0964,0.271,0.7221,0.9081,0.534,1.5445
POP,ps(Date_numeric)6,-0.0431,0.2672,0.8718,0.9578,0.5674,1.6169
POP,ps(Date_numeric)7,0.0216,0.2554,0.9324,1.0219,0.6195,1.6856
POP,ps(Date_numeric)8,0.0593,0.2501,0.8125,1.0611,0.6499,1.7325
POP,ps(Date_numeric)9,0.0238,0.2483,0.9235,1.0241,0.6295,1.666
POP,ps(Date_numeric)10,-0.0702,0.2482,0.7773,0.9322,0.5731,1.5163
POP,ps(Date_numeric)11,-0.1096,0.2632,0.6772,0.8962,0.535,1.5012
POP,ps(Date_numeric)12,-0.0847,0.2729,0.7564,0.9188,0.5382,1.5686
POP,ps(Date_numeric)13,-0.0289,0.285,0.9194,0.9716,0.5557,1.6986
POP,ps(Date_numeric)14,0.0322,0.3839,0.9332,1.0327,0.4866,2.1918
POP,Log(scale),-1.3566,0.0824,0,0.2575,0.2191,0.3026
Pesticide,(Intercept),4.0988,1.4925,0.006,60.2681,3.2338,1123.2223
Pesticide,Agesubadult,0.5578,0.2305,0.0155,1.7468,1.1119,2.7444
Pesticide,Ageadult,0.6393,0.2406,0.0079,1.8951,1.1825,3.0371
Pesticide,ParkEifel,-0.0164,0.6698,0.9804,0.9837,0.2647,3.6556
Pesticide,ParkHainich,0.7651,0.4552,0.0928,2.1493,0.8807,5.2454
Pesticide,ParkHunsrueck,-0.4756,0.673,0.4798,0.6215,0.1662,2.3245
Pesticide,ParkJasmund,0.7623,0.4321,0.0777,2.1433,0.9188,4.9994
Pesticide,ParkKellerwald,-0.9645,0.8325,0.2467,0.3812,0.0746,1.9489
Pesticide,ParkSaechs_Schw,NA,0,NA,NA,NA,NA
Pesticide,ParkVorpomm,NA,0,NA,NA,NA,NA
Pesticide,Sexmale,0.5829,0.1984,0.0033,1.7912,1.2141,2.6429
Pesticide,ps(Date_numeric)3,-1.9831,1.221,0.1043,0.1376,0.0126,1.5068
Pesticide,ps(Date_numeric)4,-3.6845,1.8605,0.0477,0.0251,7e-4,0.9627
Pesticide,ps(Date_numeric)5,-4.5329,2.1871,0.0382,0.0107,1e-4,0.7817
Pesticide,ps(Date_numeric)6,-4.704,2.2124,0.0335,0.0091,1e-4,0.6923
Pesticide,ps(Date_numeric)7,-4.4181,1.9698,0.0249,0.0121,3e-4,0.5727
Pesticide,ps(Date_numeric)8,-3.8956,1.6179,0.016,0.0203,9e-4,0.4845
Pesticide,ps(Date_numeric)9,-3.3598,1.4388,0.0195,0.0347,0.0021,0.5829
Pesticide,ps(Date_numeric)10,-3.5128,1.4664,0.0166,0.0298,0.0017,0.528
Pesticide,ps(Date_numeric)11,-3.6329,1.5066,0.0159,0.0264,0.0014,0.5067
Pesticide,ps(Date_numeric)12,-3.3825,1.5085,0.0249,0.034,0.0018,0.6532
Pesticide,ps(Date_numeric)13,-3.5598,1.5168,0.0189,0.0284,0.0015,0.556
Pesticide,ps(Date_numeric)14,-3.8189,1.8605,0.0401,0.022,6e-4,0.8416
Pesticide,Log(scale),-1.1617,0.2131,0,0.3129,0.2061,0.4752
Plasticizer,(Intercept),3.2903,0.5129,0,26.8496,9.8258,73.3682
Plasticizer,Agesubadult,-0.0664,0.1492,0.6565,0.9358,0.6985,1.2537
Plasticizer,Ageadult,0.199,0.1326,0.1333,1.2202,0.941,1.5822
Plasticizer,ParkEifel,-0.04,0.2405,0.8678,0.9608,0.5997,1.5392
Plasticizer,ParkHainich,-0.1468,0.2427,0.5452,0.8634,0.5366,1.3894
Plasticizer,ParkHunsrueck,0.0299,0.2438,0.9024,1.0304,0.6389,1.6617
Plasticizer,ParkJasmund,-0.3065,0.2593,0.2372,0.736,0.4427,1.2235
Plasticizer,ParkKellerwald,-0.3281,0.2987,0.2721,0.7203,0.4011,1.2936
Plasticizer,ParkSaechs_Schw,-0.8034,0.2646,0.0024,0.4478,0.2666,0.7522
Plasticizer,ParkVorpomm,0.1213,0.2456,0.6213,1.129,0.6977,1.8269
Plasticizer,Sexmale,-0.0379,0.1166,0.7454,0.9628,0.7661,1.2101
Plasticizer,ps(Date_numeric)3,-0.1859,0.3595,0.6052,0.8304,0.4104,1.68
Plasticizer,ps(Date_numeric)4,-0.3278,0.5087,0.5194,0.7205,0.2658,1.953
Plasticizer,ps(Date_numeric)5,-0.2795,0.5331,0.6001,0.7562,0.266,2.1497
Plasticizer,ps(Date_numeric)6,-0.2461,0.5236,0.6383,0.7818,0.2802,2.1816
Plasticizer,ps(Date_numeric)7,-0.3393,0.5034,0.5003,0.7123,0.2655,1.9105
Plasticizer,ps(Date_numeric)8,-0.4495,0.4895,0.3585,0.638,0.2444,1.6652
Plasticizer,ps(Date_numeric)9,-0.5085,0.4817,0.2911,0.6014,0.234,1.5459
Plasticizer,ps(Date_numeric)10,-0.5124,0.4831,0.2888,0.599,0.2324,1.5442
Plasticizer,ps(Date_numeric)11,-0.5402,0.5014,0.2813,0.5826,0.2181,1.5566
Plasticizer,ps(Date_numeric)12,-0.425,0.512,0.4065,0.6537,0.2396,1.7834
Plasticizer,ps(Date_numeric)13,-0.2046,0.5302,0.6996,0.815,0.2883,2.304
Plasticizer,ps(Date_numeric)14,0.0174,0.6785,0.9795,1.0176,0.2692,3.8467
Plasticizer,Log(scale),-0.274,0.073,2e-4,0.7603,0.6589,0.8773
