Sample_number,Species,Sex,Age,Date_of_sample_collection,"2,2',3,4,4',5,5'-Heptachlorobiphenyl (PCB #180)","2,2',3,4,4',5'-Hexachlorobiphenyl (PCB #138)","2,2',4,4',5,5'-Hexachlorobiphenyl (PCB #153)","2,2',4,5,5'-Pentachlorobiphenyl (PCB #101)",Acenaphthene,Avobenzone,BHC-beta,Caffeine,"DDE-p,p'",DEHA (Di(2-ethylhexyl) adipate),DINCH (Diisononyl hexahydrophthalate),DPHP (Bis(2-propylheptyl) phthalate),EHS (2-Ethylhexyl salicylate),Epoxiconazole,Fluopyram,Fluorene,Galaxolide,OC (Octocrylene),Oxybenzone,Phenanthrene,Tetraconazole,Triphenyl phosphate,UV 328,Uvinul A Plus,Park,(-)-Cotinine,17α-Ethinylestradiol,Cypermethrin,Diphenylamine,Estrone,Fipronil,Fludioxonil,TDCPP,Tebuconazole,Tonalid,Picolinafen,Triclosan,"1,3-Dinitrobenzene","2,2',4,4'-tetrabromodiphenyl ether (BDE-47)","2,2',5,5'-Tetrachlorobiphenyl (PCB #52)",Boscalid,"2,4,4'-Trichlorobiphenyl (PCB #28)",Dieldrin,Atrazine,Propiconazole,Terbuthylazine,Terbuthylazine-desethyl,oxy-Chlordane,Clopidogrel,Diazepam,Fenpropidin,Heptachlor,Myclobutanil,trans-Chlordane,"2,2',4,4',5-pentabromodiphenyl ether (BDE-99)",Azoxystrobin,Codeine,Fipronil sulfone,Lenacil,Benzophenone-1,Difenoconazole,Dimethomorph,Season
C42,C. elaphus,Male,Fawn,2023-12-09,NA,1.06312161620882,<2,NA,<4,NA,NA,<2,<1,26.035186865222201,NA,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Hainich,NA,NA,NA,<10,NA,NA,NA,NA,NA,<1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
C43,D. dama,Female,Subadult,2023-11-18,NA,NA,<2,NA,<4,NA,NA,2.2799999999999998,<1,<20,<4,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Hainich,12.462209040901501,NA,NA,NA,NA,NA,NA,NA,NA,<1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
C44,D. dama,Female,Subadult,2023-12-09,NA,<1,<2,NA,<4,NA,NA,3.4,<1,<20,NA,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Hainich,19.618121863304399,NA,NA,NA,NA,NA,NA,NA,NA,<1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
C45,D. dama,Male,Fawn,2023-11-07,NA,<1,<2,NA,<4,NA,NA,2.15,<1,<20,NA,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Hainich,NA,NA,NA,<10,NA,NA,NA,NA,NA,<1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
C46,D. dama,Female,Subadult,2023-11-18,NA,<1,<2,NA,<4,NA,NA,7.03,<1,<20,NA,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,<4,<10,Hainich,NA,NA,NA,<10,NA,NA,NA,NA,<2,<1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
C47,D. dama,Female,Adult,2023-12-12,NA,<1,<2,NA,<4,NA,NA,2.72,<1,<20,NA,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Hainich,NA,NA,NA,NA,NA,NA,NA,NA,NA,<1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
C48,D. dama,Male,Fawn,2023-11-18,NA,<1,<2,NA,<4,NA,<1,2.14,<1,<20,6.9042763780322396,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,<4,<10,Hainich,NA,NA,NA,<10,NA,NA,NA,NA,NA,<1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
C49,D. dama,Female,Adult,2023-11-07,NA,<1,<2,NA,<4,NA,NA,28.364999999999998,<1,<20,NA,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,<4,<10,Hainich,NA,NA,NA,<10,NA,NA,1.5496585014587301,NA,NA,<1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
C50,D. dama,Male,Subadult,2023-12-12,NA,<1,<2,NA,<4,NA,NA,2.4009999999999998,<1,<20,16.9114945836609,<10,<4,NA,NA,<4,<2,<10,<1,17.4062183588529,NA,<1,NA,<10,Hainich,NA,NA,NA,NA,NA,NA,NA,NA,NA,<1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
E1,C. elaphus,Male,Adult,2024-01-15,NA,1.2515376231670581,<2,NA,<4,NA,NA,11.87512929229154,<1,<20,NA,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,<4,<10,Saechs_Schw,<2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
E15,C. elaphus,Female,Subadult,2023-11-22,NA,<1,<2,NA,<4,NA,<1,<2,<1,<20,NA,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,1.127,NA,<10,Saechs_Schw,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
E21,C. elaphus,Female,Adult,2023-12-09,NA,1.0026702257408899,<2,NA,<4,NA,NA,19.14224183966628,1.1170590973454559,<20,NA,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,<4,<10,Saechs_Schw,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
E22,C. elaphus,Female,Adult,2024-01-16,NA,1.2981934411376399,3.0127404197883201,NA,NA,NA,<1,13.610453677452099,<1,<20,42.660475795806597,NA,<4,NA,NA,<4,2.0215222793651599,<10,<1,<10,NA,NA,NA,<10,Saechs_Schw,NA,NA,NA,NA,NA,NA,NA,NA,NA,<1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
E23,C. elaphus,Female,Fawn,2023-12-19,NA,1.0875875812186,<2,NA,<4,NA,NA,6.6231685919433403,1.197312937104134,<20,NA,<10,4.6445541675399404,NA,<1,<4,<2,13.521182245791559,<1,<10,NA,1.077,NA,<10,Saechs_Schw,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
E24,C. elaphus,Female,Adult,2024-01-30,NA,1.1100350210977841,<2,NA,<4,NA,NA,8.1135512074564797,1.8480371844608361,<20,NA,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,<4,<10,Saechs_Schw,4.4036912459830404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
E26,C. elaphus,Female,Subadult,2024-01-19,NA,<1,<2,NA,<4,NA,<1,23.2225916186412,<1,<20,NA,<10,4.3189972257528204,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Saechs_Schw,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
E28,C. elaphus,Female,Fawn,2023-12-08,NA,<1,<2,NA,<4,NA,NA,2.9056221429575801,<1,<20,NA,<10,10.036051914157261,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,NA,Saechs_Schw,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
E29,C. elaphus,Female,Adult,2024-01-29,NA,<1,<2,NA,<4,NA,NA,<2,<1,<20,NA,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Saechs_Schw,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
E30,C. elaphus,Male,Adult,2024-01-19,NA,1.164048960300222,<2,NA,<4,NA,<1,<2,<1,<20,NA,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Saechs_Schw,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
E31,C. elaphus,Male,Adult,2023-12-06,NA,1.081967799670664,<2,NA,<4,NA,NA,5.1790872382736204,<1,<20,NA,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Saechs_Schw,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
G01,C. elaphus,Female,Adult,2024-01-08,<1,1.2410000000000001,<2,NA,<4,<10,NA,15.061999999999999,1.8408,<20,<4,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,<4,<10,Jasmund,NA,NA,NA,<10,NA,NA,NA,NA,<2,NA,NA,NA,12.946400000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
G02,C. elaphus,Male,Fawn,2023-11-25,NA,<1,<2,NA,<4,NA,<1,2.9323999999999999,<1,<20,NA,<10,<4,<1,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Jasmund,3.9489999999999998,NA,NA,<10,NA,NA,NA,NA,<2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
G03,D. dama,Female,Adult,2023-11-14,NA,NA,NA,NA,<4,NA,NA,46.929200000000002,<1,<20,7.8163999999999998,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,<4,<10,Jasmund,NA,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
G04,C. elaphus,Male,Fawn,2023-11-18,NA,NA,NA,NA,<4,10.576000000000001,NA,2.9538000000000002,<1,<20,4.6420000000000003,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,<4,<10,Jasmund,NA,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
G05,D. dama,Female,Fawn,2023-11-18,NA,NA,NA,NA,<4,10.005800000000001,NA,<2,<1,<20,NA,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Jasmund,10.911,NA,NA,<10,NA,NA,NA,NA,<2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
G06,D. dama,Male,Fawn,2023-12-05,<1,<1,NA,NA,<4,NA,NA,26.2072,<1,<20,<4,<10,<4,<1,NA,<4,<2,<10,<1,<10,NA,<1,<4,<10,Jasmund,<2,NA,NA,<10,NA,NA,NA,<4,NA,NA,<2,NA,<10,NA,NA,<1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
G07,D. dama,Male,Adult,2024-01-08,NA,<1,<2,NA,<4,NA,NA,2.4327999999999999,<1,<20,<4,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Jasmund,NA,NA,NA,<10,NA,NA,NA,NA,14.8162,NA,NA,NA,NA,NA,<2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
G08,D. dama,Female,Adult,2023-11-18,NA,NA,NA,NA,<4,<10,NA,<2,<1,22.6068,<4,<10,<4,NA,NA,<4,<2,11.003,<1,<10,NA,<1,NA,<10,Jasmund,NA,NA,NA,<10,NA,NA,NA,NA,<2,NA,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
G09,C. elaphus,Female,Fawn,2023-11-25,NA,<1,<2,NA,<4,NA,<1,<2,1.3455999999999999,<20,<4,<10,<4,<1,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Jasmund,13.6912,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
G10,D. dama,Male,Fawn,2023-12-19,NA,<1,NA,NA,<4,NA,NA,<2,<1,<20,<4,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,<4,<10,Jasmund,NA,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
G11,D. dama,Male,Fawn,2023-12-11,NA,<1,<2,NA,<4,NA,NA,2.1259999999999999,<1,<20,<4,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Jasmund,NA,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
G12,D. dama,Female,Subadult,2023-11-17,NA,NA,NA,NA,<4,NA,NA,7.5902000000000003,<1,<20,<4,10.917999999999999,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,<4,<10,Jasmund,19.627600000000001,NA,NA,<10,NA,NA,2.3188,<4,<2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
G13,D. dama,Female,Adult,2023-12-19,NA,NA,NA,NA,<4,NA,NA,<2,<1,<20,<4,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,<4,<10,Jasmund,NA,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
G14,C. elaphus,Female,Adult,2023-11-18,NA,<1,<2,NA,<4,NA,NA,<2,<1,<20,<4,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Jasmund,<2,NA,NA,<10,NA,NA,NA,NA,<2,NA,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
G15,D. dama,Male,Subadult,2023-11-18,NA,<1,<2,NA,<4,<10,NA,13.8802,<1,<20,<4,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Jasmund,NA,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
G16,D. dama,Female,Fawn,2023-11-18,NA,NA,NA,NA,<4,NA,NA,5.2522000000000002,<1,<20,<4,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,<4,<10,Jasmund,NA,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
G17,D. dama,Male,Fawn,2024-01-26,NA,<1,<2,NA,<4,NA,NA,<2,<1,<20,<4,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Jasmund,NA,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
G18,D. dama,Female,Fawn,2023-11-18,NA,<1,NA,NA,<4,NA,NA,<2,<1,<20,<4,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Jasmund,NA,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
G19,C. elaphus,Female,Adult,2023-11-18,NA,<1,<2,NA,<4,NA,NA,0.8306,<1,<20,<4,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Jasmund,NA,NA,NA,<10,NA,NA,NA,NA,<2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
G20,D. dama,Female,Adult,2024-01-02,NA,NA,NA,NA,<4,<10,NA,<2,<1,<20,<4,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,<4,<10,Jasmund,NA,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
G22,D. dama,Female,Fawn,2023-11-17,NA,<1,<2,NA,<4,<10,<1,2.8776000000000002,<1,<20,<4,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Jasmund,NA,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
G23,D. dama,Female,Adult,2023-11-17,NA,<1,<2,NA,<4,NA,NA,5.2667999999999999,<1,<20,<4,<10,<4,<1,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Jasmund,6.0065999999999997,NA,NA,<10,NA,NA,NA,NA,<2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
G24,D. dama,Female,Adult,2023-12-19,NA,NA,NA,NA,<4,NA,<1,8.7224000000000004,<1,<20,<4,11.531599999999999,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Jasmund,NA,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
G25,D. dama,Female,Fawn,2023-11-17,NA,<1,NA,NA,<4,NA,NA,8.5266000000000002,<1,<20,5.4386000000000001,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Jasmund,9.8276000000000003,NA,NA,<10,NA,NA,<1,<4,NA,NA,NA,NA,NA,NA,<2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
G26,D. dama,Female,Subadult,2023-11-17,NA,NA,NA,NA,<4,NA,NA,<2,<1,<20,<4,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,<4,<10,Jasmund,2.9607999999999999,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
G27,D. dama,Female,Fawn,2023-11-17,NA,NA,<2,NA,<4,NA,NA,10.593999999999999,<1,<20,<4,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Jasmund,22.480399999999999,NA,NA,<10,NA,NA,3.694,<4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
G28,D. dama,Male,Fawn,2023-11-17,NA,<1,<2,NA,<4,NA,NA,4.968,<1,<20,<4,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,<4,<10,Jasmund,14.1386,NA,NA,<10,NA,NA,<1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
G29,D. dama,Female,Adult,2023-11-17,NA,NA,NA,NA,<4,NA,NA,3.6638000000000002,<1,<20,<4,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Jasmund,4.2228000000000003,NA,NA,<10,NA,NA,<1,NA,<2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
G30,D. dama,Female,Fawn,2023-11-17,NA,NA,NA,NA,<4,NA,NA,<2,<1,<20,<4,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Jasmund,NA,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
G31,D. dama,Female,Adult,2023-11-18,<1,<1,<2,NA,<4,NA,NA,2.6030000000000002,<1,<20,NA,<10,<4,<1,NA,<4,<2,<10,<1,<10,NA,<1,<4,<10,Jasmund,NA,NA,NA,<10,NA,NA,NA,<4,NA,NA,<2,NA,<10,<4,NA,<1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
G32,D. dama,Female,Adult,2023-11-18,NA,NA,NA,NA,<4,<10,NA,<2,<1,<20,28.347999999999999,913.08800000000008,9.9657999999999998,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Jasmund,NA,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,12.941599999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
G33,D. dama,Male,Subadult,2024-01-28,NA,<1,NA,NA,<4,NA,NA,<2,<1,<20,<4,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Jasmund,NA,NA,NA,<10,NA,NA,NA,NA,5.6440000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
G34,D. dama,Female,Fawn,2023-11-17,NA,<1,<2,NA,<4,NA,NA,6.7169999999999996,<1,<20,<4,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Jasmund,NA,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
G35,D. dama,Female,Adult,2023-11-18,NA,NA,NA,NA,<4,NA,NA,6.0472000000000001,<1,<20,<4,<10,<4,NA,NA,<4,<2,<10,<1,27.430045427369699,NA,<1,NA,<10,Jasmund,NA,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
G36,D. dama,Female,Fawn,2023-11-22,NA,<1,NA,NA,<4,NA,<1,5.2295999999999996,<1,<20,<4,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Jasmund,NA,NA,NA,<10,NA,NA,NA,<4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
G37,D. dama,Female,Adult,2024-01-31,NA,<1,<2,NA,<4,NA,NA,6.484,1.8964980217218601,<20,<4,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Jasmund,NA,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
G38,D. dama,Female,Adult,2023-11-17,NA,NA,NA,NA,<4,NA,NA,12.3416,<1,<20,<4,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Jasmund,NA,NA,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
